"","id","name","year_official","month_first_rating","year_first_rating","month_available","year_available"
"415",202426,"Sidereal Confluence",2017,8,2016,8,2017
"416",262543,"Wavelength",2019,10,2018,11,2019
"417",277085,"Love Letter",2019,5,2019,7,2019
"418",27162,"Kingsburg",2007,12,2006,8,2007
"419",270844,"Imperial Settlers: Empires of the North",2019,7,2019,7,2019
"420",11170,"Heroscape Master Set: Rise of the Valkyrie",2004,8,2004,8,2004
"421",66362,"Glen More",2010,4,2010,4,2010
"422",96913,"Lancaster",2011,4,2011,5,2011
"423",79828,"A Few Acres of Snow",2011,4,2011,7,2011
"424",262211,"Cloudspire",2019,10,2018,8,2019
"425",176396,"Quadropolis",2016,4,2015,2,2016
"426",192153,"Pandemic: Reign of Cthulhu",2016,2,2016,8,2016
"427",298069,"Cubitos",2021,3,2020,1,2021
"428",274960,"Point Salad",2019,3,2019,7,2019
"429",18833,"Lord of the Rings: The Confrontation",2005,12,2005,1,2006
"430",197376,"Charterstone",2017,9,2016,10,2017
"431",150,"PitchCar",1995,6,2001,5,2001
"432",293141,"King of Tokyo: Dark Edition",2020,11,2019,4,2020
"433",137408,"Amerigo",2013,5,2013,10,2013
"434",258210,"Blitzkrieg!: World War Two in 20 Minutes",2019,11,2018,10,2019
"435",15985,"Blood Bowl: Living Rulebook",2004,2,2005,12,2005
"436",171,"Chess",1475,6,2001,5,2001
"437",256730,"Pipeline",2019,7,2018,6,2019
"438",25417,"BattleLore",2006,10,2006,10,2006
"439",264241,"Mandala",2019,1,2019,9,2019
"440",194607,"Mystic Vale",2016,3,2016,6,2016
"441",305096,"Endless Winter: Paleoamericans",2022,5,2020,10,2020
"442",150658,"Pandemic: The Cure",2014,11,2013,10,2014
"443",105134,"Risk Legacy",2011,9,2011,11,2011
"444",274638,"Unmatched: Robin Hood vs. Bigfoot",2019,3,2019,10,2019
"445",62222,"Commands & Colors: Napoleonics",2010,6,2010,12,2010
"446",169427,"Middara: Unintentional Malum – Act 1",2019,5,2015,3,2019
"447",260180,"Project L",2020,9,2018,8,2020
"448",156858,"Black Orchestra",2016,5,2016,11,2016
"449",5404,"Amun-Re",2003,4,2003,4,2003
"450",157969,"Sheriff of Nottingham",2014,6,2014,8,2014
"451",233312,"Stuffed Fables",2018,8,2017,2,2018
"452",295374,"Long Shot: The Dice Game",2022,12,2019,2,2022
"453",17226,"Descent: Journeys in the Dark",2005,8,2005,10,2005
"454",226522,"Exit: The Game – Dead Man on the Orient Express",2017,7,2017,11,2017
"455",146791,"Shadows of Brimstone: City of the Ancients",2014,11,2013,9,2014
"456",83330,"Mansions of Madness",2011,10,2010,2,2011
"457",290236,"Canvas",2021,11,2019,1,2021
"458",136063,"Forbidden Desert",2013,1,2013,5,2013
"459",712,"Blood Bowl (Third Edition)",1994,5,2001,5,2001
"460",158899,"Colt Express",2014,7,2014,10,2014
"461",128996,"1775: Rebellion",2013,12,2012,8,2013
"462",162082,"Deus",2014,7,2014,10,2014
"463",478,"Citadels",2000,6,2001,5,2001
"464",177639,"Raptor",2015,6,2015,10,2015
"465",98778,"Hanabi",2010,7,2011,10,2011
"466",144189,"Fire in the Lake",2014,8,2013,8,2014
"467",62227,"Labyrinth: The War on Terror, 2001 – ?",2010,3,2010,11,2010
"468",205398,"Citadels",2016,8,2016,12,2016
"469",20437,"Lords of Vegas",2010,1,2010,8,2010
"470",15062,"Shadows over Camelot",2005,4,2005,5,2005
"471",232414,"Oceans",2020,8,2017,1,2020
"472",284742,"Honey Buzz",2020,7,2019,11,2020
"473",240196,"Betrayal Legacy",2018,4,2018,11,2018
"474",43570,"Friday",2011,4,2011,10,2011
"475",269144,"Hadara",2019,2,2019,3,2019
"476",193042,"Junk Art",2016,4,2016,8,2016
"477",12942,"No Thanks!",2004,9,2004,10,2004
"478",13,"CATAN",1995,6,2001,5,2001
"479",245654,"Railroad Ink: Deep Blue Edition",2018,6,2018,8,2018
"480",191862,"Imhotep",2016,3,2016,4,2016
"481",17405,"1846: The Race for the Midwest",2005,7,2005,6,2010
"482",119506,"Freedom: The Underground Railroad",2013,2,2012,11,2013
"483",180974,"Potion Explosion",2015,10,2015,10,2015
"484",262215,"Blackout: Hong Kong",2018,10,2018,10,2018
"485",206941,"First Class: All Aboard the Orient Express!",2016,10,2016,10,2016
"486",95527,"Madeira",2013,5,2013,10,2013
"487",97786,"Small World Underground",2011,6,2011,6,2011
"488",65781,"London",2010,6,2010,10,2010
"489",144797,"Argent: The Consortium",2015,11,2013,3,2015
"490",21790,"Thurn and Taxis",2006,2,2006,3,2006
"491",11,"Bohnanza",1997,5,2001,5,2001
"492",256952,"Zombie Kidz Evolution",2018,11,2018,1,2019
"493",36553,"Time's Up! Title Recall!",2008,7,2008,8,2008
"494",171668,"The Grizzled",2015,2,2015,8,2015
"495",127398,"Legends of Andor",2012,8,2012,9,2012
"496",105551,"Archipelago",2012,2,2012,10,2012
"497",221965,"The Fox in the Forest",2017,3,2017,7,2017
"498",156009,"Port Royal",2014,3,2014,4,2014
"499",125618,"Libertalia",2012,5,2012,8,2012
"500",123123,"BattleCON: Devastation of Indines",2013,12,2012,11,2013
"501",142379,"Escape Plan",2019,8,2013,4,2019
"502",175095,"Dawn of the Zeds (Third Edition)",2016,5,2015,6,2016
"503",9674,"Ingenious",2004,3,2004,4,2004
