"","ID","Name","Year","Rank","Average","Bayes.average","Users.rated"
"585",198953,"Pax Renaissance",2016,585,8.01,6.837,2178
"586",163166,"One Night Ultimate Werewolf: Daybreak",2015,586,7.34,6.837,5442
"587",10547,"Betrayal at House on the Hill",2004,587,7.05,6.836,41758
"588",24508,"Taluva",2006,588,7.15,6.835,8268
"589",209778,"Magic Maze",2017,589,7,6.835,18529
"590",121408,"Trains",2012,590,7.14,6.835,8081
"591",322708,"Descent: Legends of the Dark",2021,591,8.01,6.833,2886
"592",239942,"Black Rose Wars",2019,592,8.07,6.832,2480
"593",46,"Medici",1995,593,7.16,6.832,7678
"594",5782,"Coloretto",2003,594,6.98,6.832,19487
"595",266121,"Unlock!: Heroic Adventures",2018,595,7.68,6.83,2852
"596",111799,"Cuba Libre",2013,596,7.69,6.829,2872
"597",58281,"Summoner Wars",2009,597,7.24,6.829,6418
"598",332800,"Summoner Wars (Second Edition)",2021,598,8.28,6.828,1849
"599",180511,"Shakespeare",2015,599,7.43,6.827,4122
"600",13004,"The Downfall of Pompeii",2004,600,7.14,6.824,7917
"601",21763,"Mr. Jack",2006,601,7,6.823,16743
"602",3201,"Lord of the Rings: The Confrontation",2002,602,7.2,6.823,6737
"603",50750,"Belfort",2011,603,7.23,6.822,6196
"604",296912,"Fort",2020,604,7.22,6.819,6635
"605",170624,"Crusaders: Thy Will Be Done",2018,605,7.51,6.816,3449
"606",150997,"Shadows of Brimstone: Swamps of Death",2014,606,8.04,6.815,2330
"607",107529,"Kingdom Builder",2011,607,6.95,6.815,21698
"608",121288,"Dixit: Journey",2012,608,7.4,6.815,4427
"609",699,"HeroQuest",1989,609,7.16,6.814,12166
"610",432,"6 nimmt!",1994,610,6.94,6.814,24932
"611",171499,"Cacao",2015,611,7.09,6.812,9728
"612",30380,"Cuba",2007,612,7.14,6.811,8124
"613",70512,"Luna",2010,613,7.3,6.809,4830
"614",88,"Torres",1999,614,7.1,6.808,9237
"615",100423,"Elder Sign",2011,615,6.97,6.808,23861
"616",203416,"Exit: The Game – The Pharaoh's Tomb",2016,616,7.19,6.807,6081
"617",329839,"So Clover!",2021,617,7.59,6.807,2999
"618",113294,"Escape: The Curse of the Temple",2012,618,6.98,6.806,16305
"619",258036,"Between Two Castles of Mad King Ludwig",2018,619,7.28,6.805,5268
"620",126792,"Myrmes",2012,620,7.27,6.804,5343
"621",116998,"Thunderstone Advance: Towers of Ruin",2012,621,7.35,6.804,4684
"622",190082,"Whitehall Mystery",2017,622,7.57,6.803,3183
"623",290359,"Undaunted: North Africa",2020,623,7.89,6.803,2346
"624",134726,"Smash Up: Awesome Level 9000",2013,624,7.23,6.803,6786
"625",213893,"Yamataï",2017,625,7.21,6.8,6116
"626",163839,"Feudum",2017,626,7.65,6.8,3303
"627",29603,"D-Day at Omaha Beach",2009,627,8.29,6.8,1728
"628",160495,"ZhanGuo",2014,628,7.58,6.799,3064
"629",20963,"Fury of Dracula (Second Edition)",2005,629,7.11,6.799,9142
"630",155624,"Specter Ops",2015,630,7.21,6.798,6097
"631",173064,"Leaving Earth",2015,631,7.76,6.797,2667
"632",123540,"Tokaido",2012,632,6.96,6.797,23346
"633",154825,"Arkwright",2014,633,7.84,6.796,2261
"634",65532,"Defenders of the Realm",2010,634,7.28,6.795,5352
"635",153016,"Telestrations: 12 Player Party Pack",2011,635,7.75,6.795,2542
"636",271518,"Disney Villainous: Wicked to the Core",2019,636,7.61,6.793,3471
"637",244115,"Shards of Infinity",2018,637,7.52,6.792,3546
"638",87890,"Prêt-à-Porter",2010,638,7.37,6.791,4262
"639",193558,"The Oracle of Delphi",2016,639,7.29,6.79,4714
"640",295374,"Long Shot: The Dice Game",2022,640,7.9,6.79,2193
"641",233247,"Civilization: A New Dawn",2017,641,7.28,6.789,5637
"642",165401,"Wir sind das Volk!",2014,642,7.83,6.788,2283
"643",162007,"Steampunk Rally",2015,643,7.19,6.788,6362
"644",181521,"Warhammer Quest: The Adventure Card Game",2015,644,7.33,6.787,5227
"645",2955,"Mexica",2002,645,7.24,6.787,5471
"646",3307,"Wallenstein",2002,646,7.47,6.787,3560
"647",242639,"Treasure Island",2018,647,7.27,6.787,5220
"648",146278,"Tash-Kalar: Arena of Legends",2013,648,7.16,6.785,6675
"649",168584,"Love Letter: Batman",2015,649,7.27,6.785,5378
"650",69789,"Ascension: Deckbuilding Game",2010,650,7.03,6.784,12689
"651",72321,"The Networks",2016,651,7.19,6.784,5992
"652",15364,"Vegas Showdown",2005,652,7.16,6.782,6225
"653",232219,"Dragon Castle",2017,653,7.15,6.781,6900
"654",231581,"AuZtralia",2018,654,7.39,6.781,4015
"655",2398,"Cribbage",1630,655,7.08,6.78,9149
"656",132018,"Churchill",2015,656,7.67,6.78,2705
"657",135779,"A Fake Artist Goes to New York",2012,657,7.16,6.779,6332
"658",156336,"Onirim (Second Edition)",2014,658,7.06,6.778,9321
"659",9823,"Advanced Squad Leader: Starter Kit #1",2004,659,7.84,6.778,2523
"660",143741,"BANG! The Dice Game",2013,660,6.92,6.778,22168
"661",270970,"Century: A New World",2019,661,7.39,6.777,4069
"662",7717,"Carcassonne: The Castle",2003,662,7.1,6.776,7926
"663",242574,"Century: Eastern Wonders",2018,663,7.16,6.775,6618
"664",167400,"Ashes Reborn: Rise of the Phoenixborn",2015,664,7.29,6.774,5631
"665",73761,"K2",2010,665,7.03,6.772,9890
"666",226320,"My Little Scythe",2017,666,7.29,6.772,4889
"667",256382,"Disney Villainous",2018,667,7.03,6.77,15357
"668",22345,"Yspahan",2006,668,7.07,6.769,7936
"669",214880,"City of the Big Shoulders",2019,669,7.82,6.769,2271
"670",168435,"Between Two Cities",2015,670,7.01,6.769,10394
"671",71721,"Space Hulk: Death Angel – The Card Game",2010,671,7,6.769,12843
"672",306040,"Merv: The Heart of the Silk Road",2020,672,7.62,6.768,2799
"673",552,"Bus",1999,673,7.57,6.767,2838
"674",241724,"Villagers",2019,674,7.24,6.767,5863
"675",266830,"QE",2019,675,7.43,6.766,3386
"676",55600,"Shipyard",2009,676,7.35,6.766,3903
"677",31563,"Middle-Earth Quest",2009,677,7.38,6.766,4092
"678",340466,"Unfathomable",2021,678,7.73,6.766,2703
"679",249381,"The Estates",2018,679,7.45,6.764,3308
"680",183840,"Oh My Goods!",2015,680,7,6.764,11236
"681",68425,"Eminent Domain",2011,681,7,6.763,10076
"682",284760,"Disney Villainous: Evil Comes Prepared",2019,682,7.62,6.762,3207
"683",483,"Diplomacy",1959,683,7.04,6.762,12688
"684",173442,"Empires: Age of Discovery",2015,684,7.86,6.762,2100
"685",143515,"Coal Baron",2013,685,7.28,6.761,4570
"686",586,"Up Front",1983,686,7.88,6.76,2215
"687",255692,"New Frontiers",2018,687,7.47,6.759,3190
"688",2163,"Space Hulk",1989,688,7.48,6.758,3764
"689",179803,"Arcadia Quest: Inferno",2017,689,7.93,6.758,2195
"690",20100,"Wits & Wagers",2005,690,6.93,6.757,14306
"691",315767,"Cartographers Heroes",2021,691,7.93,6.756,2001
"692",192457,"Cry Havoc",2016,692,7.16,6.755,6453
"693",244228,"Reef",2018,693,7.05,6.755,8314
"694",214887,"CO₂: Second Chance",2018,694,7.6,6.751,2861
"695",36235,"The Duke",2013,695,7.35,6.751,3989
"696",47185,"Warhammer: Invasion",2009,696,7.23,6.75,5862
"697",220520,"Caverna: Cave vs Cave",2017,697,7.14,6.749,5998
"698",156943,"Saint Petersburg (Second Edition)",2014,698,7.48,6.749,3149
"699",201825,"Ex Libris",2017,699,7.16,6.749,5928
"700",43528,"World Without End",2009,700,7.24,6.747,4837
"701",244114,"Yellow & Yangtze",2018,701,7.87,6.747,2027
"702",200147,"Kanagawa",2016,702,7.06,6.746,8096
"703",162286,"Super Motherload",2015,703,7.37,6.746,3708
"704",21882,"Blue Moon City",2006,704,7.04,6.746,8161
"705",281442,"Trismegistus: The Ultimate Formula",2019,705,7.62,6.745,2907
"706",137988,"Zombicide Season 2: Prison Outbreak",2013,706,7.37,6.745,4526
"707",26997,"1989: Dawn of Freedom",2012,707,7.8,6.742,2180
"708",280480,"Crystal Palace",2019,708,7.56,6.742,2803
"709",300300,"Chronicles of Crime: 1400",2020,709,7.83,6.741,2611
